Nome: SORRISO
Codigo Estacao: A904
Latitude: -12.555
Longitude: -55.72277777
Altitude: 379.31
Situacao: Operante
Data Inicial: 2002-12-15
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2002-12-15;null;null;null;
2002-12-16;null;null;null;
2002-12-17;null;null;null;
2002-12-18;null;30.3;23;
2002-12-19;null;28.2;22.1;
2002-12-20;null;28.5;22.8;
2002-12-21;null;32.3;20.5;
2002-12-22;null;32.9;21.5;
2002-12-23;null;32.1;22.9;
2002-12-24;null;33.6;21.7;
2002-12-25;null;33.6;23.5;
2002-12-26;null;31.3;22.4;
2002-12-27;null;31.8;22.3;
2002-12-28;null;29;20.4;
2002-12-29;null;28.1;21.2;
2002-12-30;null;27.4;21.1;
2002-12-31;null;29.7;21.1;
2003-01-01;null;26.4;21.1;
2003-01-02;null;30.5;20.8;
2003-01-03;null;28.1;22.6;
2003-01-04;null;30;22.4;
2003-01-05;null;32.7;21.9;
2003-01-06;null;32.8;23.6;
2003-01-07;null;29.5;23.1;
2003-01-08;null;27.2;23.7;
2003-01-09;null;31.8;21.9;
2003-01-10;null;33;22.7;
2003-01-11;null;33.4;21.8;
2003-01-12;null;33.3;22.6;
2003-01-13;null;29.8;22.4;
2003-01-14;null;26.7;22.8;
2003-01-15;null;30.9;22.4;
2003-01-16;null;29.3;22.2;
2003-01-17;null;28.2;22;
2003-01-18;44.2;25;22.4;
2003-01-19;64.2;28;20.8;
2003-01-20;58;23.3;21.3;
2003-01-21;23.2;29.8;21;
2003-01-22;13.6;30.6;20.6;
2003-01-23;0;31;22.8;
2003-01-24;25.6;30.6;22.4;
2003-01-25;10.8;31.6;22.2;
2003-01-26;27.4;32;20.3;
2003-01-27;.8;27.5;22.7;
2003-01-28;1.2;29.6;22;
2003-01-29;9.8;29.3;22.2;
2003-01-30;11.8;29.2;22.1;
2003-01-31;8.2;28.2;21.6;
2003-02-01;11;26.2;21.9;
2003-02-02;27.8;31;21.4;
2003-02-03;.6;32.1;21.5;
2003-02-04;11.4;31.1;20.7;
2003-02-05;0;33.2;21.6;
2003-02-06;7.2;33.1;21.1;
2003-02-07;6.2;33;20;
2003-02-08;0;31.5;21.8;
2003-02-09;0;33.5;21.7;
2003-02-10;0;33.5;21.9;
2003-02-11;0;33.8;21.8;
2003-02-12;.4;32.2;22.3;
2003-02-13;12.4;30.6;21.2;
2003-02-14;1.8;30.1;22.5;
2003-02-15;32.2;25.4;21.8;
2003-02-16;26.4;29.8;21.6;
2003-02-17;.2;30.7;22.3;
2003-02-18;3.8;27.9;23.1;
2003-02-19;11.8;30.6;21;
2003-02-20;11.8;31.3;22.7;
2003-02-21;45.8;23.6;20.8;
2003-02-22;38.6;25.6;20.3;
2003-02-23;3;29.4;20.5;
2003-02-24;2;31.4;20.7;
2003-02-25;3;29.7;21;
2003-02-26;2.4;31.1;21.7;
2003-02-27;0;30;22.2;
2003-02-28;0;33.4;20.8;
2003-03-01;0;33.1;22.5;
2003-03-02;3.4;32.4;22.2;
2003-03-03;6.4;27.7;21.5;
2003-03-04;1.6;32.8;21;
2003-03-05;0;33.2;21.4;
2003-03-06;0;33.4;22.1;
2003-03-07;.4;30.6;21;
2003-03-08;4.2;32.7;21.3;
2003-03-09;8.8;31.4;22.5;
2003-03-10;0;33.5;22.4;
2003-03-11;0;32.6;22.7;
2003-03-12;102.8;27.6;21.1;
2003-03-13;0;28.5;22.2;
2003-03-14;21.4;29.9;22.2;
2003-03-15;0;30.9;22.6;
2003-03-16;.6;31.3;21.6;
2003-03-17;7.4;31;22.5;
2003-03-18;40.4;24.9;21.2;
2003-03-19;2.6;29.7;21.5;
2003-03-20;3;29.2;21.9;
2003-03-21;2.6;31.5;23.1;
2003-03-22;19.8;30;22.2;
2003-03-23;2;27.9;22.2;
2003-03-24;1.2;27.4;21.8;
2003-03-25;24;29.2;21.7;
2003-03-26;20.2;29.8;21;
2003-03-27;6;27.5;22.1;
2003-03-28;5.4;31.1;21.2;
2003-03-29;9.6;30.3;21.7;
2003-03-30;0;30;22.3;
2003-03-31;.4;27.2;22;
2003-04-01;32;31.7;21.1;
2003-04-02;0;32.9;21.5;
2003-04-03;.8;32;22.9;
2003-04-04;0;32.4;22.3;
2003-04-05;0;30.7;22.7;
2003-04-06;.2;30.5;22.3;
2003-04-07;0;32.1;21.9;
2003-04-08;62.6;31.4;21.7;
2003-04-09;39.8;30.2;22.3;
2003-04-10;6;28.1;22.4;
2003-04-11;16.6;30.7;20.8;
2003-04-12;.4;29.7;21.9;
2003-04-13;54;30.1;18.5;
2003-04-14;0;29.8;18.7;
2003-04-15;6.4;30.4;20.7;
2003-04-16;.8;29.9;22;
2003-04-17;5.6;30.8;21.2;
2003-04-18;0;32.1;21.6;
2003-04-19;2.8;32.5;22.4;
2003-04-20;9;30.6;22.4;
2003-04-21;5.2;32.1;20.5;
2003-04-22;0;32.3;20.9;
2003-04-23;0;32.4;20.6;
2003-04-24;0;32.4;20.6;
2003-04-25;0;33;20.1;
2003-04-26;0;33.1;20.7;
2003-04-27;0;31.9;21.4;
2003-04-28;5;32.8;20.9;
2003-04-29;0;32.7;20.3;
2003-04-30;0;32.9;20.9;
2003-05-01;0;31.8;23.2;
2003-05-02;1.4;33.1;21.9;
2003-05-03;0;30.8;22.7;
2003-05-04;0;32.4;20.2;
2003-05-05;0;28.2;22.4;
2003-05-06;0;27.6;21.8;
2003-05-07;.2;28.9;17.7;
2003-05-08;0;29.5;17.3;
2003-05-09;0;30.5;16.2;
2003-05-10;0;31.5;17.1;
2003-05-11;0;29.6;19.9;
2003-05-12;0;31.6;22;
2003-05-13;0;31.9;19.5;
2003-05-14;0;32.7;18.3;
2003-05-15;0;33.1;20;
2003-05-16;0;32.6;20.1;
2003-05-17;0;32.6;20.1;
2003-05-18;0;32.2;19.7;
2003-05-19;0;32;19.3;
2003-05-20;0;32.6;19.3;
2003-05-21;0;33.5;19.4;
2003-05-22;0;33.9;20.3;
2003-05-23;0;34.6;21.5;
2003-05-24;0;29.3;22.2;
2003-05-25;2;31.5;20.6;
2003-05-26;0;31.7;20.4;
2003-05-27;.2;30.4;21.8;
2003-05-28;.4;31.1;21.3;
2003-05-29;0;31.4;20.4;
2003-05-30;0;29;20.6;
2003-05-31;0;27.9;21.2;
2003-06-01;0;32.6;20.6;
2003-06-02;0;32.6;20.4;
2003-06-03;0;32.7;20.6;
2003-06-04;0;32.3;20.6;
2003-06-05;0;32.1;19.6;
2003-06-06;0;33.8;20.1;
2003-06-07;0;33.9;20.3;
2003-06-08;0;32.4;21.3;
2003-06-09;0;31.9;18.8;
2003-06-10;0;32.8;18;
2003-06-11;0;32.5;18.2;
2003-06-12;0;31.7;17.9;
2003-06-13;0;33.7;17.9;
2003-06-14;0;33.6;18.5;
2003-06-15;null;33.1;16;
2003-06-16;0;32.7;20.2;
2003-06-17;0;32.8;17;
2003-06-18;0;32.6;15.6;
2003-06-19;0;32.1;16.7;
2003-06-20;0;32.7;18;
2003-06-21;0;32.5;17.5;
2003-06-22;0;32.6;18.3;
2003-06-23;0;32.5;17.5;
2003-06-24;0;32.2;17.7;
2003-06-25;0;33;17.7;
2003-06-26;0;31.8;16.4;
2003-06-27;0;33.2;17.6;
2003-06-28;0;33;19.3;
2003-06-29;0;32.6;18.7;
2003-06-30;0;32;17;
2003-07-01;0;31.5;15.5;
2003-07-02;0;31.7;17.3;
2003-07-03;0;31.9;14.4;
2003-07-04;0;32.2;16.1;
2003-07-05;0;33;17.6;
2003-07-06;0;33.1;18.8;
2003-07-07;0;32.7;15.9;
2003-07-08;0;32.6;15.7;
2003-07-09;0;34.3;17.4;
2003-07-10;0;33.3;19;
2003-07-11;0;28;17.2;
2003-07-12;0;28.9;14.6;
2003-07-13;0;30.5;14.6;
2003-07-14;0;33.6;16.7;
2003-07-15;0;32.3;18.6;
2003-07-16;0;32;16.5;
2003-07-17;0;31.9;16.5;
2003-07-18;0;33.1;17.1;
2003-07-19;0;33.4;18.9;
2003-07-20;0;33.9;18.6;
2003-07-21;0;34.4;17.4;
2003-07-22;0;34.2;18.2;
2003-07-23;0;33.8;15.4;
2003-07-24;0;33.5;17.4;
2003-07-25;0;32.8;17.7;
2003-07-26;0;33.3;17;
2003-07-27;0;33.3;16.2;
2003-07-28;0;33.4;16.6;
2003-07-29;0;33;17;
2003-07-30;0;33.4;18.5;
2003-07-31;0;33.5;16.8;
2003-08-01;0;35.3;16.1;
2003-08-02;0;35.3;18.4;
2003-08-03;0;36.4;19;
2003-08-04;0;35.2;18.9;
2003-08-05;0;35.2;19.5;
2003-08-06;0;35.2;19.7;
2003-08-07;0;34.8;20.3;
2003-08-08;0;35.4;18.2;
2003-08-09;0;37.1;19.4;
2003-08-10;0;33.7;18.9;
2003-08-11;0;35.2;17.2;
2003-08-12;0;35.4;18.6;
2003-08-13;0;36.6;18.4;
2003-08-14;0;37.1;20.8;
2003-08-15;0;36;19.9;
2003-08-16;0;35.1;20.6;
2003-08-17;0;33.3;17.4;
2003-08-18;0;35.3;15.2;
2003-08-19;0;35.3;17.1;
2003-08-20;0;36;20.2;
2003-08-21;0;35.2;20.4;
2003-08-22;0;35.4;20.4;
2003-08-23;0;35.7;18.9;
2003-08-24;0;36.5;20.7;
2003-08-25;0;30.4;19.5;
2003-08-26;0;30.6;13.8;
2003-08-27;0;33.1;15.8;
2003-08-28;0;32.4;15.5;
2003-08-29;0;31.4;14.6;
2003-08-30;0;32.6;14.8;
2003-08-31;0;35.1;17.2;
2003-09-01;0;35;20.8;
2003-09-02;0;34.9;21.6;
2003-09-03;0;37.6;20.8;
2003-09-04;0;36.2;21.3;
2003-09-05;0;36.7;19.8;
2003-09-06;0;36.2;20.9;
2003-09-07;0;34.6;20.4;
2003-09-08;0;33.7;22.2;
2003-09-09;3.8;28.8;20.3;
2003-09-10;.8;24.6;16.9;
2003-09-11;0;31.1;13.5;
2003-09-12;0;36.5;15.6;
2003-09-13;0;36.6;19.3;
2003-09-14;0;36;20.9;
2003-09-15;0;35.8;22.5;
2003-09-16;7;26.1;20.3;
2003-09-17;.2;31.3;19.8;
2003-09-18;0;35.8;20.8;
2003-09-19;0;36.2;21.5;
2003-09-20;0;33.2;21.6;
2003-09-21;.2;34.9;21.4;
2003-09-22;9.2;35.5;21.4;
2003-09-23;0;34.9;22.1;
2003-09-24;0;35.8;22.1;
2003-09-25;0;34.9;23.3;
2003-09-26;0;34.7;22.7;
2003-09-27;20.6;31.4;20.6;
2003-09-28;0;32.3;21.7;
2003-09-29;15.8;27.3;20.8;
2003-09-30;.2;32;20.2;
2003-10-01;0;31.4;22.8;
2003-10-02;5;32.7;20.2;
2003-10-03;0;30.5;22;
2003-10-04;.6;32.6;22.5;
2003-10-05;0;32.1;22.8;
2003-10-06;9;28.2;21.3;
2003-10-07;0;32.3;21.9;
2003-10-08;2.6;34.7;21.2;
2003-10-09;0;34.8;22.6;
2003-10-10;.2;32.1;20.2;
2003-10-11;0;33.7;22.5;
2003-10-12;16.8;29.1;19.9;
2003-10-13;20.2;31.1;21.3;
2003-10-14;1.4;32.8;21.5;
2003-10-15;0;32;21.4;
2003-10-16;0;33.7;21.6;
2003-10-17;.6;31;22;
2003-10-18;63.2;31.6;20.8;
2003-10-19;31;32.9;20.9;
2003-10-20;0;35.1;21.3;
2003-10-21;0;33.4;23.1;
2003-10-22;2.2;33.1;21.3;
2003-10-23;1.8;31.5;21;
2003-10-24;0;32.6;22.9;
2003-10-25;5.2;33.1;22.3;
2003-10-26;.8;34.3;22.9;
2003-10-27;0;28.8;23.6;
2003-10-28;30.2;31.6;19.5;
2003-10-29;0;31.4;22.9;
2003-10-30;5.4;32.1;21.8;
2003-10-31;.4;31.4;21.3;
2003-11-01;.2;32.8;22.3;
2003-11-02;53.6;29.3;21;
2003-11-03;.4;30.7;18.6;
2003-11-04;0;33.5;20.1;
2003-11-05;0;32.9;22.5;
2003-11-06;0;33;21.3;
2003-11-07;0;35.5;21.8;
2003-11-08;6.6;32;22.8;
2003-11-09;.4;33.1;21.3;
2003-11-10;0;33.8;22.8;
2003-11-11;.8;34.3;21.8;
2003-11-12;0;34.8;23.1;
2003-11-13;37;31.3;21.1;
2003-11-14;0;31;21.7;
2003-11-15;0;33.3;22.9;
2003-11-16;29;30.7;21.9;
2003-11-17;11.4;24.9;21.4;
2003-11-18;3.2;30.9;21.9;
2003-11-19;28.8;31.3;21.2;
2003-11-20;1.4;26.4;22.4;
2003-11-21;59.6;30.2;21.4;
2003-11-22;21.6;29.2;21.5;
2003-11-23;.2;30.1;21.1;
2003-11-24;5.4;31.7;21.5;
2003-11-25;0;31.5;22.7;
2003-11-26;.2;33.1;21.5;
2003-11-27;0;33.5;22.2;
2003-11-28;45.2;32.3;20.7;
2003-11-29;.2;32.6;22;
2003-11-30;65.4;30.3;21.5;
2003-12-01;5.8;27.5;21.9;
2003-12-02;9;27;21.3;
2003-12-03;23;30.1;21.3;
2003-12-04;0;33;23.6;
2003-12-05;0;32.1;22.5;
2003-12-06;113.6;30.3;21.2;
2003-12-07;0;32;22;
2003-12-08;0;32.9;23;
2003-12-09;0;30.9;23;
2003-12-10;17;32;21.4;
2003-12-11;1.2;31.8;22.2;
2003-12-12;3.4;33.4;21;
2003-12-13;0;34.4;22.3;
2003-12-14;50.6;30.9;19;
2003-12-15;0;32;21.5;
2003-12-16;2.2;33.2;20.8;
2003-12-17;24;31.1;20.9;
2003-12-18;0;33.2;22.8;
2003-12-19;6.6;32;19.4;
2003-12-20;0;33.3;22.5;
2003-12-21;0;34.1;22.8;
2003-12-22;0;32.9;22;
2003-12-23;.6;33.2;22.2;
2003-12-24;.6;32.3;20.8;
2003-12-25;0;30.8;22.9;
2003-12-26;.8;31.8;22.1;
2003-12-27;74.6;28.5;21.3;
2003-12-28;1.2;27.6;21.7;
2003-12-29;35.6;27.9;20.5;
2003-12-30;0;29.5;21.1;
2003-12-31;.6;31.6;21.8;
2004-01-01;0;31.9;22.9;
2004-01-02;14.4;29.5;22.4;
2004-01-03;8.2;32.3;22.1;
2004-01-04;47.2;28.2;22;
2004-01-05;6.6;30.7;21.5;
2004-01-06;4.6;29.8;22.9;
2004-01-07;20.6;28.8;20.9;
2004-01-08;.6;29.5;22.1;
2004-01-09;6.6;27.7;21.9;
2004-01-10;58.2;25.6;21.8;
2004-01-11;5;26.7;22.9;
2004-01-12;21.2;30.9;22.6;
2004-01-13;.6;30.5;22.7;
2004-01-14;13.2;29.5;21.8;
2004-01-15;28.6;30.5;21.5;
2004-01-16;3.2;29.2;23.2;
2004-01-17;0;30.4;22.7;
2004-01-18;72.2;29;21.4;
2004-01-19;1.2;30.6;22.6;
2004-01-20;.6;31.4;22.1;
2004-01-21;1.8;31.6;22.8;
2004-01-22;1;30.1;22.7;
2004-01-23;18.4;26.7;21.7;
2004-01-24;5.6;26.3;22.2;
2004-01-25;15.2;25;22.6;
2004-01-26;15.4;27.1;20.6;
2004-01-27;.4;32.4;22.1;
2004-01-28;29;32.1;19.1;
2004-01-29;5;29.9;22.1;
2004-01-30;22.2;30.9;21.6;
2004-01-31;17.6;26.6;22.2;
2004-02-01;null;null;null;
2004-02-02;null;null;null;
2004-02-03;null;null;null;
2004-02-04;null;null;null;
2004-02-05;null;null;null;
2004-02-06;null;null;null;
2004-02-07;null;null;null;
2004-02-08;null;null;null;
2004-02-09;null;null;null;
2004-02-10;null;null;null;
2004-02-11;null;26.3;null;
2004-02-12;1.6;30.9;21.6;
2004-02-13;33.8;31;21.2;
2004-02-14;36.6;30.8;20.5;
2004-02-15;4.4;30.6;20.9;
2004-02-16;20.6;31.7;22;
2004-02-17;16.2;29.4;22.4;
2004-02-18;3.4;30.1;21.8;
2004-02-19;79.4;31.1;21.8;
2004-02-20;.4;29.4;22.1;
2004-02-21;6.2;31.4;22.3;
2004-02-22;20.6;29.2;22.2;
2004-02-23;62.2;28.1;21.9;
2004-02-24;0;29;22.3;
2004-02-25;36.2;26.8;21.7;
2004-02-26;38;30.2;22;
2004-02-27;.2;31.3;21.8;
2004-02-28;2.6;32.3;22.4;
2004-02-29;0;33.1;22.3;
2004-03-01;15.4;32.2;21.8;
2004-03-02;0;31.5;22.4;
2004-03-03;10;31.1;23.6;
2004-03-04;.8;30.9;22.2;
2004-03-05;12.6;31.6;22.6;
2004-03-06;57.2;27.4;20.3;
2004-03-07;12.6;30.3;20.5;
2004-03-08;45;31.4;21.6;
2004-03-09;.4;33.6;22.1;
2004-03-10;14.4;33.9;22.1;
2004-03-11;0;34.4;22.8;
2004-03-12;0;33.1;22.9;
2004-03-13;0;32.8;21.9;
2004-03-14;7;32.8;21.4;
2004-03-15;68;31.7;22.2;
2004-03-16;3.6;30.8;22.8;
2004-03-17;1;31.7;21.4;
2004-03-18;1.6;29.2;21.4;
2004-03-19;0;31.8;22;
2004-03-20;7.8;32.1;22.8;
2004-03-21;34.6;31.1;22.8;
2004-03-22;20.8;31.6;22.5;
2004-03-23;0;32.8;21.3;
2004-03-24;0;32.8;22.9;
2004-03-25;0;32.8;23.3;
2004-03-26;.2;31.1;22.3;
2004-03-27;0;31.8;21.6;
2004-03-28;0;29.6;21.5;
2004-03-29;6.2;32.3;20.8;
2004-03-30;.2;32.2;22.1;
2004-03-31;0;34;21.6;
2004-04-01;0;32.2;23.6;
2004-04-02;0;31;21.7;
2004-04-03;0;33.2;22.2;
2004-04-04;.4;33.4;21.5;
2004-04-05;.2;33.8;22.9;
2004-04-06;39.8;30.3;20.1;
2004-04-07;0;33.1;21.4;
2004-04-08;0;33;22.6;
2004-04-09;0;33.1;22.4;
2004-04-10;1.4;29.9;22.7;
2004-04-11;6;29.5;22.5;
2004-04-12;11.6;28.1;22.3;
2004-04-13;.2;31.1;21.9;
2004-04-14;0;31.3;22.6;
2004-04-15;0;31.3;21.6;
2004-04-16;0;29.7;22.3;
2004-04-17;6.2;31.7;21.3;
2004-04-18;0;32.4;22.4;
2004-04-19;0;33.3;21.7;
2004-04-20;0;32.5;21.8;
2004-04-21;0;32.9;22.1;
2004-04-22;2;33;22.2;
2004-04-23;6.4;32.2;22.2;
2004-04-24;23.4;31.4;21.4;
2004-04-25;.2;30.2;22.6;
2004-04-26;.2;28.1;20.8;
2004-04-27;0;28.9;20.8;
2004-04-28;.2;31.6;20.8;
2004-04-29;0;33.3;21.9;
2004-04-30;0;32.7;22;
2004-05-01;61.8;31.1;20.2;
2004-05-02;0;32.2;21.3;
2004-05-03;2;33.2;21.3;
2004-05-04;0;32.2;22.1;
2004-05-05;0;31;21.6;
2004-05-06;0;29.1;18.2;
2004-05-07;0;28.6;17.5;
2004-05-08;0;28.3;18.4;
2004-05-09;0;31;17.7;
2004-05-10;0;30;20.8;
2004-05-11;0;32.2;21.5;
2004-05-12;0;31.8;21.8;
2004-05-13;0;33.1;21.9;
2004-05-14;7;30.8;21.9;
2004-05-15;.4;24;19.1;
2004-05-16;0;30.1;17.6;
2004-05-17;0;31.7;18.8;
2004-05-18;0;32.3;20.2;
2004-05-19;0;32.8;20.4;
2004-05-20;0;32.4;20.5;
2004-05-21;0;33.7;20.6;
2004-05-22;0;32.4;21;
2004-05-23;0;32.5;19.8;
2004-05-24;0;32.4;20.5;
2004-05-25;0;33.4;19.9;
2004-05-26;0;27.6;18.3;
2004-05-27;0;28.9;15.7;
2004-05-28;0;30.8;15.4;
2004-05-29;0;32.5;17.7;
2004-05-30;0;32.9;20.4;
2004-05-31;0;32.4;20.5;
2004-06-01;0;32.1;20.3;
2004-06-02;0;31.2;19.9;
2004-06-03;0;30.7;20.2;
2004-06-04;0;30.5;17.6;
2004-06-05;0;31.2;17.1;
2004-06-06;0;31.8;18.1;
2004-06-07;0;32;17.1;
2004-06-08;0;32.8;16.9;
2004-06-09;0;32.5;19.3;
2004-06-10;0;32.4;20.5;
2004-06-11;0;32.5;19.2;
2004-06-12;0;26.4;18.4;
2004-06-13;0;27.1;15.2;
2004-06-14;0;31.2;13.7;
2004-06-15;0;32;17;
2004-06-16;0;32.3;17.6;
2004-06-17;0;32.4;18.1;
2004-06-18;0;32.9;17.4;
2004-06-19;0;30.9;18.7;
2004-06-20;0;30.6;16.9;
2004-06-21;0;31.7;18.1;
2004-06-22;0;32.1;18.3;
2004-06-23;0;31.9;18.1;
2004-06-24;0;33.2;16.3;
2004-06-25;0;32;17;
2004-06-26;0;32.3;18.6;
2004-06-27;0;33.3;18.5;
2004-06-28;0;33.2;16.1;
2004-06-29;0;33.3;17.4;
2004-06-30;0;33.3;19.8;
2004-07-01;0;33.4;19.4;
2004-07-02;0;32.7;17.9;
2004-07-03;0;33.7;17.3;
2004-07-04;0;33.6;17.7;
2004-07-05;0;33.8;18.2;
2004-07-06;0;33.9;21.3;
2004-07-07;0;33.8;18.2;
2004-07-08;0;33.4;19.3;
2004-07-09;0;31.5;19.1;
2004-07-10;29.6;32.9;18.8;
2004-07-11;0;26.4;20.1;
2004-07-12;0;32.6;16.7;
2004-07-13;0;32.8;20.3;
2004-07-14;.4;32.3;21;
2004-07-15;0;33.4;20.5;
2004-07-16;0;32.7;17.9;
2004-07-17;0;32.7;18.8;
2004-07-18;0;31;16.5;
2004-07-19;0;31.7;16;
2004-07-20;0;32.2;15.6;
2004-07-21;0;32.8;17.2;
2004-07-22;0;33.1;17;
2004-07-23;0;32.8;16.7;
2004-07-24;0;31.8;17.3;
2004-07-25;0;31.1;15.7;
2004-07-26;0;31.4;15.3;
2004-07-27;0;31.1;15.5;
2004-07-28;0;31.2;16.5;
2004-07-29;0;31.3;16.6;
2004-07-30;0;30.7;15.3;
2004-07-31;0;30.4;14;
2004-08-01;0;33.4;15.8;
2004-08-02;0;34.3;18.6;
2004-08-03;0;35.2;19.1;
2004-08-04;0;34.8;19.3;
2004-08-05;0;33.5;17.9;
2004-08-06;0;31.7;17.7;
2004-08-07;0;32.4;15.7;
2004-08-08;0;30.4;12.7;
2004-08-09;0;32.8;13.4;
2004-08-10;0;34.3;14.7;
2004-08-11;0;34.7;17.2;
2004-08-12;0;34.2;17.2;
2004-08-13;0;33.9;18.4;
2004-08-14;0;33.2;14.3;
2004-08-15;0;33;16.7;
2004-08-16;0;34.5;17.6;
2004-08-17;0;34.4;17.1;
2004-08-18;0;35.4;17.4;
2004-08-19;0;36.2;17.9;
2004-08-20;0;35.8;18.2;
2004-08-21;0;36.2;18.9;
2004-08-22;0;36.9;18.8;
2004-08-23;0;35.7;18.6;
2004-08-24;0;35.3;19.2;
2004-08-25;0;39.8;22.1;
2004-08-26;0;33;21.6;
2004-08-27;0;34.1;19.3;
2004-08-28;0;35.1;20.6;
2004-08-29;0;36.1;21.7;
2004-08-30;.2;36.7;20.8;
2004-08-31;0;36.6;22.3;
2004-09-01;0;34;20.4;
2004-09-02;0;34.9;22.2;
2004-09-03;0;35.5;20.1;
2004-09-04;0;35.9;19.6;
2004-09-05;0;36.4;19.4;
2004-09-06;0;36.6;19;
2004-09-07;0;36;19.1;
2004-09-08;0;36.7;18.9;
2004-09-09;null;37.6;18.3;
2004-09-10;0;36.9;19.5;
2004-09-11;0;37.7;19.9;
2004-09-12;0;31.2;17.4;
2004-09-13;0;29.8;12.8;
2004-09-14;null;35.1;17;
2004-09-15;0;35.2;21.7;
2004-09-16;.2;29.1;20.4;
2004-09-17;.2;35.4;19.9;
2004-09-18;0;35.5;21.1;
2004-09-19;0;30;22.8;
2004-09-20;0;35.3;20.8;
2004-09-21;0;35.8;20.5;
2004-09-22;0;36.3;22.3;
2004-09-23;.2;34.7;21.1;
2004-09-24;0;35.8;21.8;
2004-09-25;0;35.8;22.9;
2004-09-26;0;35.1;22.8;
2004-09-27;0;35.8;22.4;
2004-09-28;24.8;35.1;18.7;
2004-09-29;0;34.4;23.4;
2004-09-30;.6;30.9;19.7;
2004-10-01;0;35.1;21.4;
2004-10-02;12.6;32.5;20.9;
2004-10-03;14.2;28.1;20.5;
2004-10-04;0;34.3;19.1;
2004-10-05;0;35.9;21.6;
2004-10-06;0;36;23.4;
2004-10-07;0;34.1;23;
2004-10-08;0;34.6;23.3;
2004-10-09;0;33.2;23.3;
2004-10-10;4.4;32.9;21.4;
2004-10-11;0;35.1;23.6;
2004-10-12;11.6;30.8;20.8;
2004-10-13;2.6;31.1;21.2;
2004-10-14;16;32.9;21.2;
2004-10-15;0;34;22.6;
2004-10-16;.2;34.8;22.2;
2004-10-17;1.2;34.2;22.6;
2004-10-18;17;31;21.2;
2004-10-19;0;34.7;21.7;
2004-10-20;0;33.7;22.9;
2004-10-21;12.6;32.6;21.9;
2004-10-22;0;29.2;22.3;
2004-10-23;0;32;22.4;
2004-10-24;7.4;32.7;21.4;
2004-10-25;1.6;30.8;21.5;
2004-10-26;.2;33.6;22.5;
2004-10-27;.2;26;20;
2004-10-28;.2;31.1;20.7;
2004-10-29;0;32.6;21.8;
2004-10-30;0;29.2;20.8;
2004-10-31;.2;32.8;20.8;
2004-11-01;0;33.8;22.1;
2004-11-02;0;34.7;23.2;
2004-11-03;0;34.1;21.7;
2004-11-04;0;31.9;21.8;
2004-11-05;0;32.8;22.5;
2004-11-06;0;31.6;21.9;
2004-11-07;0;31.4;21.3;
2004-11-08;0;26.9;22.1;
2004-11-09;0;31;20.4;
2004-11-10;0;32.8;21.9;
2004-11-11;0;24.6;21;
2004-11-12;0;28.3;19.9;
2004-11-13;0;33.3;20.7;
2004-11-14;0;24.5;21.6;
2004-11-15;null;27.4;20.9;
2004-11-16;0;31.5;22.8;
2004-11-17;0;33;23.1;
2004-11-18;0;31.1;22;
2004-11-19;0;30.2;21.7;
2004-11-20;null;31.5;21.6;
2004-11-21;null;31.9;21.8;
2004-11-22;null;33.8;22.5;
2004-11-23;0;34.1;22.6;
2004-11-24;0;34.7;23.5;
2004-11-25;0;35;22.8;
2004-11-26;0;33.6;21.8;
2004-11-27;0;31.9;23.3;
2004-11-28;0;33;23.4;
2004-11-29;0;31.5;22.1;
2004-11-30;0;30.1;23.6;
2004-12-01;0;28.5;20.8;
2004-12-02;0;30.2;21.8;
2004-12-03;0;31.7;23.3;
2004-12-04;0;32.4;21.8;
2004-12-05;0;34.2;22.2;
2004-12-06;0;34.4;23.3;
2004-12-07;0;30.1;20.4;
2004-12-08;0;32.6;21.6;
2004-12-09;0;33.5;23.6;
2004-12-10;0;30.1;21;
2004-12-11;0;30.4;23.2;
2004-12-12;0;31.9;20.8;
2004-12-13;0;30.6;22.6;
2004-12-14;0;32.7;21.3;
2004-12-15;0;33.3;21.9;
2004-12-16;0;31.1;21.8;
2004-12-17;0;29.6;21.6;
2004-12-18;0;29.3;22;
2004-12-19;0;30.7;21.9;
2004-12-20;0;28.1;22.4;
2004-12-21;0;28.4;21.7;
2004-12-22;0;29.5;21.7;
2004-12-23;0;30.9;21.6;
2004-12-24;0;29.5;23;
2004-12-25;0;30.1;22.1;
2004-12-26;0;27.8;21.9;
2004-12-27;0;31.3;22.3;
2004-12-28;0;31.2;21.2;
2004-12-29;0;31.3;21.1;
2004-12-30;0;29.5;21.2;
2004-12-31;0;31.1;21.1;
2005-01-01;0;30.3;22.3;
2005-01-02;0;26.9;21.1;
2005-01-03;0;30.1;21.3;
2005-01-04;0;27.8;23.4;
2005-01-05;0;28.5;21.9;
2005-01-06;0;28.3;22.4;
2005-01-07;0;32;22.2;
2005-01-08;0;33.6;22.3;
2005-01-09;0;31.2;22.5;
2005-01-10;0;30.5;21.3;
2005-01-11;0;32.5;21.8;
2005-01-12;0;31.4;22.1;
2005-01-13;0;28.8;22.3;
2005-01-14;0;31;22.9;
2005-01-15;0;31.1;22.9;
